Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,Paremeter63,Paremeter64,Paremeter65,Paremeter66,Paremeter67,Paremeter68,Paremeter69,Paremeter70,Paremeter71,Paremeter72,Paremeter73
11,userID,ID381,Web,complete,insertValue,2019-02-21T07:04:17.705+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:04:24.771+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:04:33.751+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:04:47.499+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:04:54.510+11:00,confirm,Web,complete,clickButton,2019-02-21T07:05:03.685+11:00,Web,complete,waitResponse,2019-02-21T07:05:07.338+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:05:20.009+11:00,B2,Web,complete,clickButton,2019-02-21T07:05:22.459+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:05:26.402+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:05:29.438+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:05:32.327+11:00,copy,B,Melbourne 123,Excel
12,userID,ID702,Web,complete,insertValue,2019-02-21T07:05:52.636+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:05:59.263+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:06:02.704+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:06:15.967+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:06:26.382+11:00,confirm,Web,complete,clickButton,2019-02-21T07:06:34.347+11:00,Web,complete,waitResponse,2019-02-21T07:06:36.348+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:06:53.653+11:00,B2,Web,complete,clickButton,2019-02-21T07:06:55.566+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:06:59.372+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:07:02.090+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:07:05.809+11:00,copy,B,Melbourne 123,Excel
13,userID,ID1864,Web,complete,insertValue,2019-02-21T07:07:21.886+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:07:32.918+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:07:41.186+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:07:52.844+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:07:55.087+11:00,confirm,Web,complete,clickButton,2019-02-21T07:07:57.156+11:00,Web,complete,waitResponse,2019-02-21T07:07:58.937+11:00,www.webpage.com/wrong,ID1864,userID,Web,complete,copy,2019-02-21T07:08:08.184+11:00,ID1864,newID,Web,complete,paste,2019-02-21T07:08:09.857+11:00,B3,Web,complete,clickButton,2019-02-21T07:08:12.629+11:00,paste,A,ID1864,Excel,9,complete,2019-02-21T07:08:14.917+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T07:08:17.449+11:00,Area,Melbourne 123
14,userID,ID1450,Web,complete,insertValue,2019-02-21T07:08:34.053+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:08:39.515+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:08:56.378+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:09:03.320+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:09:20.389+11:00,confirm,Web,complete,clickButton,2019-02-21T07:09:31.924+11:00,Web,complete,waitResponse,2019-02-21T07:09:35.131+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:09:42.919+11:00,B2,Web,complete,clickButton,2019-02-21T07:09:46.113+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:09:49.562+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:09:52.552+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:09:54.854+11:00,copy,B,Melbourne 123,Excel
15,userID,ID707,Web,complete,insertValue,2019-02-21T07:10:14.252+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:10:27.633+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:10:39.264+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:10:47.418+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:11:02.993+11:00,confirm,Web,complete,clickButton,2019-02-21T07:11:07.987+11:00,Web,complete,waitResponse,2019-02-21T07:11:12.578+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:11:24.374+11:00,B2,Web,complete,clickButton,2019-02-21T07:11:28.056+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:11:31.447+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:11:34.007+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:11:35.301+11:00,copy,B,Melbourne 123,Excel
16,userID,ID788,Web,complete,insertValue,2019-02-21T07:11:54.134+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:12:06.311+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:12:07.232+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:12:10.264+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:12:20.282+11:00,confirm,Web,complete,clickButton,2019-02-21T07:12:36.217+11:00,Web,complete,waitResponse,2019-02-21T07:12:39.771+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:12:48.347+11:00,B2,Web,complete,clickButton,2019-02-21T07:12:49.795+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:12:53.091+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:12:54.341+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:12:56.405+11:00,copy,B,Melbourne 123,Excel
17,userID,ID744,Web,complete,insertValue,2019-02-21T07:13:13.316+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:13:13.316+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:13:21.440+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:13:34.260+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:13:34.260+11:00,confirm,Web,complete,clickButton,2019-02-21T07:13:43.525+11:00,Web,complete,waitResponse,2019-02-21T07:13:47.253+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:13:53.598+11:00,B2,Web,complete,clickButton,2019-02-21T07:13:57.411+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:14:01.837+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:14:05.587+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:14:08.899+11:00,copy,B,Melbourne 123,Excel
18,userID,ID1968,Web,complete,insertValue,2019-02-21T07:14:28.431+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:14:36.862+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:14:47.918+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:14:47.918+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:14:57.018+11:00,confirm,Web,complete,clickButton,2019-02-21T07:15:14.501+11:00,Web,complete,waitResponse,2019-02-21T07:15:19.360+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:15:21.290+11:00,B2,Web,complete,clickButton,2019-02-21T07:15:24.030+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:15:26.459+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:15:27.605+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:15:30.038+11:00,copy,B,Melbourne 123,Excel
19,userID,ID265,Web,complete,insertValue,2019-02-21T07:15:52.098+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:16:09.460+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:16:14.869+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:16:27.381+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:16:38.374+11:00,confirm,Web,complete,clickButton,2019-02-21T07:16:41.113+11:00,Web,complete,waitResponse,2019-02-21T07:16:44.277+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:16:59.012+11:00,B2,Web,complete,clickButton,2019-02-21T07:17:02.539+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:17:06.076+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:17:08.589+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:17:10.530+11:00,copy,B,Melbourne 123,Excel
20,userID,ID486,Web,complete,insertValue,2019-02-21T07:17:31.316+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:17:42.883+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:17:50.176+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:17:59.080+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:18:09.908+11:00,confirm,Web,complete,clickButton,2019-02-21T07:18:13.932+11:00,Web,complete,waitResponse,2019-02-21T07:18:16.537+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:18:18.819+11:00,B2,Web,complete,clickButton,2019-02-21T07:18:21.453+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:18:24.651+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:18:27.596+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:18:31.100+11:00,copy,B,Melbourne 123,Excel
21,userID,ID587,Web,complete,insertValue,2019-02-21T07:18:48.981+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:18:54.419+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:18:55.084+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:19:05.445+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:19:13.710+11:00,confirm,Web,complete,clickButton,2019-02-21T07:19:24.881+11:00,Web,complete,waitResponse,2019-02-21T07:19:26.276+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:19:36.755+11:00,B2,Web,complete,clickButton,2019-02-21T07:19:41.887+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:19:44.635+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:19:47.919+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:19:51.082+11:00,copy,B,Melbourne 123,Excel
22,userID,ID177,Web,complete,insertValue,2019-02-21T07:20:11.026+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:20:16.291+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:20:22.572+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:20:30.785+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:20:42.494+11:00,confirm,Web,complete,clickButton,2019-02-21T07:20:50.795+11:00,Web,complete,waitResponse,2019-02-21T07:20:54.171+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:21:10.430+11:00,B2,Web,complete,clickButton,2019-02-21T07:21:11.628+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:21:13.006+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:21:14.826+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:21:15.176+11:00,copy,B,Melbourne 123,Excel
23,userID,ID879,Web,complete,insertValue,2019-02-21T07:21:34.889+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:21:42.035+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:21:52.773+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:22:04.986+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:22:07.820+11:00,confirm,Web,complete,clickButton,2019-02-21T07:22:22.184+11:00,Web,complete,waitResponse,2019-02-21T07:22:24.937+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:22:30.837+11:00,B2,Web,complete,clickButton,2019-02-21T07:22:36.667+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:22:39.526+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:22:40.872+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:22:43.088+11:00,copy,B,Melbourne 123,Excel
24,userID,ID867,Web,complete,insertValue,2019-02-21T07:23:02.615+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:23:17.056+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:23:24.548+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:23:31.777+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:23:37.918+11:00,confirm,Web,complete,clickButton,2019-02-21T07:23:42.778+11:00,Web,complete,waitResponse,2019-02-21T07:23:44.267+11:00,www.webpage.com/wrong,ID867,userID,Web,complete,copy,2019-02-21T07:23:48.187+11:00,ID867,newID,Web,complete,paste,2019-02-21T07:23:50.462+11:00,B3,Web,complete,clickButton,2019-02-21T07:23:51.876+11:00,paste,A,ID867,Excel,85,complete,2019-02-21T07:23:55.243+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T07:23:58.741+11:00,Area,Melbourne 123
25,userID,ID1132,Web,complete,insertValue,2019-02-21T07:24:15.148+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:24:15.148+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:24:19.655+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:24:19.655+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:24:26.261+11:00,confirm,Web,complete,clickButton,2019-02-21T07:24:32.962+11:00,Web,complete,waitResponse,2019-02-21T07:24:37.365+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:24:49.119+11:00,B2,Web,complete,clickButton,2019-02-21T07:24:50.846+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:24:52.812+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:24:56.968+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:25:02.246+11:00,copy,B,Melbourne 123,Excel
26,userID,ID1442,Web,complete,insertValue,2019-02-21T07:25:20.649+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:25:26.505+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:25:27.538+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:25:38.464+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:25:44.221+11:00,confirm,Web,complete,clickButton,2019-02-21T07:25:56.250+11:00,Web,complete,waitResponse,2019-02-21T07:25:57.466+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T07:26:15.726+11:00,B2,Web,complete,clickButton,2019-02-21T07:26:17.756+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T07:26:22.022+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T07:26:24.658+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T07:26:27.162+11:00,copy,B,Melbourne 123,Excel
27,userID,ID160,Web,complete,insertValue,2019-02-21T07:26:49.413+11:00,Excel,complete,openFile,Sheet1,2019-02-21T07:26:50.297+11:00,data.xls,Web,complete,goToUrl,2019-02-21T07:26:50.297+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T07:26:55.771+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T07:27:00.770+11:00,confirm,Web,complete,clickButton,2019-02-21T07:27:13.264+11:00,Web,complete,waitResponse,2019-02-21T07:27:16.308+11:00,www.webpage.com/wrong,ID160,userID,Web,complete,copy,2019-02-21T07:27:23.788+11:00,ID160,newID,Web,complete,paste,2019-02-21T07:27:26.170+11:00,B3,Web,complete,clickButton,2019-02-21T07:27:30.849+11:00,paste,A,ID160,Excel,42,complete,2019-02-21T07:27:33.104+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T07:27:37.070+11:00,Area,Melbourne 123
