Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Excel,complete,openFile,Sheet1,2019-02-21T16:21:41.991+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:21:51.769+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:21:57.496+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:22:09.182+11:00,confirm,Web,complete,clickButton,2019-02-21T16:22:18.937+11:00,Web,complete,waitResponse,2019-02-21T16:22:23.419+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:22:30.515+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:22:34.408+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:22:37.400+11:00,cancel,Web,complete,clickButton,2019-02-21T16:22:40.204+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Excel,complete,openFile,Sheet1,2019-02-21T16:22:50.204+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:22:59.927+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:23:02.577+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:23:15.783+11:00,confirm,Web,complete,clickButton,2019-02-21T16:23:17.276+11:00,Web,complete,waitResponse,2019-02-21T16:23:22.379+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:23:33.160+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:23:36.587+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:23:40.284+11:00,cancel,Web,complete,clickButton,2019-02-21T16:23:41.579+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Excel,complete,openFile,Sheet1,2019-02-21T16:23:51.579+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:23:51.709+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:24:07.847+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:24:07.847+11:00,confirm,Web,complete,clickButton,2019-02-21T16:24:28.446+11:00,Web,complete,waitResponse,2019-02-21T16:24:31.190+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T16:24:38.088+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:24:41.143+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:24:53.661+11:00,confirm,Web,complete,clickButton,2019-02-21T16:24:59.984+11:00,Web,complete,waitResponse,2019-02-21T16:25:01.791+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Excel,complete,openFile,Sheet1,2019-02-21T16:25:53.214+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:25:55.552+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:26:06.045+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:26:15.315+11:00,confirm,Web,complete,clickButton,2019-02-21T16:26:20.031+11:00,Web,complete,waitResponse,2019-02-21T16:26:22.077+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:26:27.794+11:00,B2,Web,complete,clickButton,2019-02-21T16:26:29.542+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:26:31.678+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:26:33.067+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Excel,complete,openFile,Sheet1,2019-02-21T16:26:57.299+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:27:05.398+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:27:19.472+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:27:26.359+11:00,confirm,Web,complete,clickButton,2019-02-21T16:27:39.366+11:00,Web,complete,waitResponse,2019-02-21T16:27:43.972+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T16:27:55.352+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:28:11.839+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:28:16.922+11:00,confirm,Web,complete,clickButton,2019-02-21T16:28:32.454+11:00,Web,complete,waitResponse,2019-02-21T16:28:34.886+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Excel,complete,openFile,Sheet1,2019-02-21T16:29:20.097+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:29:24.180+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:29:32.557+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:29:43.124+11:00,confirm,Web,complete,clickButton,2019-02-21T16:29:43.124+11:00,Web,complete,waitResponse,2019-02-21T16:29:45.457+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:29:48.885+11:00,B2,Web,complete,clickButton,2019-02-21T16:29:49.827+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:29:53.015+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:29:54.897+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Excel,complete,openFile,Sheet1,2019-02-21T16:30:17.104+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:30:30.363+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:30:47.188+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:30:50.715+11:00,confirm,Web,complete,clickButton,2019-02-21T16:31:08.781+11:00,Web,complete,waitResponse,2019-02-21T16:31:12.850+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:31:29.341+11:00,B2,Web,complete,clickButton,2019-02-21T16:31:29.711+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:31:34.162+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:31:37.172+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Excel,complete,openFile,Sheet1,2019-02-21T16:31:58.286+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:32:11.801+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:32:28.210+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:32:51.622+11:00,confirm,Web,complete,clickButton,2019-02-21T16:32:52.581+11:00,Web,complete,waitResponse,2019-02-21T16:32:55.372+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:32:57.596+11:00,B2,Web,complete,clickButton,2019-02-21T16:32:59.836+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:33:03.276+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:33:04.141+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Excel,complete,openFile,Sheet1,2019-02-21T16:33:23.342+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:33:36.340+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:33:38.683+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:33:41.120+11:00,confirm,Web,complete,clickButton,2019-02-21T16:33:48.854+11:00,Web,complete,waitResponse,2019-02-21T16:33:51.829+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T16:33:56.835+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:33:59.477+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:33:59.477+11:00,confirm,Web,complete,clickButton,2019-02-21T16:34:09.605+11:00,Web,complete,waitResponse,2019-02-21T16:34:12.246+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Excel,complete,openFile,Sheet1,2019-02-21T16:34:46.402+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:34:57.484+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:35:02.901+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:35:08.311+11:00,confirm,Web,complete,clickButton,2019-02-21T16:35:08.311+11:00,Web,complete,waitResponse,2019-02-21T16:35:10.644+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:35:14.946+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:35:19.814+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:35:21.981+11:00,cancel,Web,complete,clickButton,2019-02-21T16:35:24.318+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Excel,complete,openFile,Sheet1,2019-02-21T16:35:34.318+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:35:47.320+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:35:59.722+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:36:05.636+11:00,confirm,Web,complete,clickButton,2019-02-21T16:36:19.823+11:00,Web,complete,waitResponse,2019-02-21T16:36:23.083+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T16:36:30.659+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:36:38.404+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:36:48.351+11:00,confirm,Web,complete,clickButton,2019-02-21T16:36:53.515+11:00,Web,complete,waitResponse,2019-02-21T16:36:57.867+11:00,www.webpage.com/error,Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Excel,complete,openFile,Sheet1,2019-02-21T16:37:54.356+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:38:02.910+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:38:05.633+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:38:08.329+11:00,confirm,Web,complete,clickButton,2019-02-21T16:38:08.329+11:00,Web,complete,waitResponse,2019-02-21T16:38:10.633+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:38:23.319+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:38:27.145+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:38:30.025+11:00,cancel,Web,complete,clickButton,2019-02-21T16:38:33.134+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Excel,complete,openFile,Sheet1,2019-02-21T16:38:43.134+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:38:51.669+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:38:58.714+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:39:08.557+11:00,confirm,Web,complete,clickButton,2019-02-21T16:39:10.378+11:00,Web,complete,waitResponse,2019-02-21T16:39:12.278+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:39:22.713+11:00,B2,Web,complete,clickButton,2019-02-21T16:39:25.766+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:39:28.901+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:39:31.463+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Excel,complete,openFile,Sheet1,2019-02-21T16:39:51.183+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:39:59.612+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:40:09+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:40:25.522+11:00,confirm,Web,complete,clickButton,2019-02-21T16:40:25.522+11:00,Web,complete,waitResponse,2019-02-21T16:40:29.106+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T16:40:29.106+11:00,B2,Web,complete,clickButton,2019-02-21T16:40:33.730+11:00,ID,182381,Web,complete,insertValue,2019-02-21T16:40:37.837+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T16:40:40.926+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Excel,complete,openFile,Sheet1,2019-02-21T16:41:00.694+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:41:07.330+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:41:15.293+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:41:22.986+11:00,confirm,Web,complete,clickButton,2019-02-21T16:41:24.669+11:00,Web,complete,waitResponse,2019-02-21T16:41:29.123+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:41:34.710+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:41:38.727+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:41:41.377+11:00,cancel,Web,complete,clickButton,2019-02-21T16:41:45.121+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Excel,complete,openFile,Sheet1,2019-02-21T16:41:55.121+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:41:57.844+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:42:08.070+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:42:19.572+11:00,confirm,Web,complete,clickButton,2019-02-21T16:42:20.689+11:00,Web,complete,waitResponse,2019-02-21T16:42:24.222+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:42:24.222+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:42:28.375+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:42:30.864+11:00,cancel,Web,complete,clickButton,2019-02-21T16:42:33.519+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Excel,complete,openFile,Sheet1,2019-02-21T16:42:43.519+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:42:48.097+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:43:00.500+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:43:01.735+11:00,confirm,Web,complete,clickButton,2019-02-21T16:43:11.444+11:00,Web,complete,waitResponse,2019-02-21T16:43:15.125+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T16:43:26.182+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:43:46.017+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:43:58.720+11:00,confirm,Web,complete,clickButton,2019-02-21T16:44:07.330+11:00,Web,complete,waitResponse,2019-02-21T16:44:11.170+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Excel,complete,openFile,Sheet1,2019-02-21T16:44:45.045+11:00,data.xls,Web,complete,goToUrl,2019-02-21T16:44:48.511+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T16:44:56.333+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T16:45:07.033+11:00,confirm,Web,complete,clickButton,2019-02-21T16:45:10.762+11:00,Web,complete,waitResponse,2019-02-21T16:45:14.784+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T16:45:23.065+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T16:45:26.364+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T16:45:28.991+11:00,cancel,Web,complete,clickButton,2019-02-21T16:45:31.971+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
