Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66,Parameter67
11,Excel,complete,openFile,Sheet1,2019-02-19T03:50:49.831+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:50:58.067+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:50:58.716+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:51:03.089+11:00,confirm,Web,complete,clickButton,2019-02-19T03:51:12.269+11:00,Web,complete,waitResponse,2019-02-19T03:51:15.556+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:51:26.974+11:00,B2,Web,complete,clickButton,2019-02-19T03:51:31.163+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:51:33.395+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:51:34.950+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:51:38.509+11:00,copy,B,Melbourne 123,Excel
12,Excel,complete,openFile,Sheet1,2019-02-19T03:51:58.235+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:51:58.235+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:51:58.235+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:52:08.464+11:00,confirm,Web,complete,clickButton,2019-02-19T03:52:17.060+11:00,Web,complete,waitResponse,2019-02-19T03:52:19.811+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:52:32.733+11:00,B2,Web,complete,clickButton,2019-02-19T03:52:35.814+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:52:38.628+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:52:41.824+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:52:45.974+11:00,copy,B,Melbourne 123,Excel
13,Excel,complete,openFile,Sheet1,2019-02-19T03:53:05.665+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:53:07.002+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:53:12.578+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:53:19.244+11:00,confirm,Web,complete,clickButton,2019-02-19T03:53:25.617+11:00,Web,complete,waitResponse,2019-02-19T03:53:27.272+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:53:27.272+11:00,B2,Web,complete,clickButton,2019-02-19T03:53:30.001+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:53:33.748+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:53:35.399+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:53:36.861+11:00,copy,B,Melbourne 123,Excel
14,Excel,complete,openFile,Sheet1,2019-02-19T03:53:53.153+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:53:53.946+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:53:58.430+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:54:07.876+11:00,confirm,Web,complete,clickButton,2019-02-19T03:54:25.181+11:00,Web,complete,waitResponse,2019-02-19T03:54:27.094+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:54:39.121+11:00,B2,Web,complete,clickButton,2019-02-19T03:54:41.839+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:54:45.558+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:54:47.294+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:54:49.193+11:00,copy,B,Melbourne 123,Excel
15,Excel,complete,openFile,Sheet1,2019-02-19T03:55:08.296+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:55:19.954+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:55:22.197+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:55:24.266+11:00,confirm,Web,complete,clickButton,2019-02-19T03:55:26.171+11:00,Web,complete,waitResponse,2019-02-19T03:55:28.771+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:55:38.191+11:00,B2,Web,complete,clickButton,2019-02-19T03:55:41.219+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:55:43.514+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:55:47.115+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:55:49.523+11:00,copy,B,Melbourne 123,Excel
16,Excel,complete,openFile,Sheet1,2019-02-19T03:56:08.011+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:56:18.698+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:56:27.271+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:56:36.063+11:00,confirm,Web,complete,clickButton,2019-02-19T03:56:55.840+11:00,Web,complete,waitResponse,2019-02-19T03:56:58.512+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:57:05.276+11:00,B2,Web,complete,clickButton,2019-02-19T03:57:08.342+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:57:11.536+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:57:14.985+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:57:17.975+11:00,copy,B,Melbourne 123,Excel
17,Excel,complete,openFile,Sheet1,2019-02-19T03:57:36.677+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:57:44.663+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:57:58.044+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:58:09.675+11:00,confirm,Web,complete,clickButton,2019-02-19T03:58:17.829+11:00,Web,complete,waitResponse,2019-02-19T03:58:22.344+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:58:27.338+11:00,B2,Web,complete,clickButton,2019-02-19T03:58:31.929+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:58:35.689+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:58:38.516+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:58:39.735+11:00,copy,B,Melbourne 123,Excel
18,Excel,complete,openFile,Sheet1,2019-02-19T03:59:01.894+11:00,data.xls,Web,complete,goToUrl,2019-02-19T03:59:13.350+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T03:59:18.242+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T03:59:25.698+11:00,confirm,Web,complete,clickButton,2019-02-19T03:59:35.335+11:00,Web,complete,waitResponse,2019-02-19T03:59:40.320+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T03:59:47.948+11:00,B2,Web,complete,clickButton,2019-02-19T03:59:51.961+11:00,ID,182381,Web,complete,insertValue,2019-02-19T03:59:56.019+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T03:59:57.605+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T03:59:58.857+11:00,copy,B,Melbourne 123,Excel
19,Excel,complete,openFile,Sheet1,2019-02-19T04:00:14.655+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:00:14.655+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:00:17.973+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:00:24.421+11:00,confirm,Web,complete,clickButton,2019-02-19T04:00:24.421+11:00,Web,complete,waitResponse,2019-02-19T04:00:27.296+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:00:27.296+11:00,B2,Web,complete,clickButton,2019-02-19T04:00:30.321+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:00:34.285+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:00:35.614+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:00:38.867+11:00,copy,B,Melbourne 123,Excel
20,Excel,complete,openFile,Sheet1,2019-02-19T04:00:58.211+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:01:10.360+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:01:16.555+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:01:16.555+11:00,confirm,Web,complete,clickButton,2019-02-19T04:01:36.252+11:00,Web,complete,waitResponse,2019-02-19T04:01:38.996+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:01:52.467+11:00,B2,Web,complete,clickButton,2019-02-19T04:01:54.511+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:01:59.274+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:02:04.287+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:02:07.640+11:00,copy,B,Melbourne 123,Excel
21,Excel,complete,openFile,Sheet1,2019-02-19T04:02:29.553+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:02:36.751+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:02:46.797+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:02:53.493+11:00,confirm,Web,complete,clickButton,2019-02-19T04:02:58.635+11:00,Web,complete,waitResponse,2019-02-19T04:02:59.781+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:03:04.942+11:00,B2,Web,complete,clickButton,2019-02-19T04:03:09.800+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:03:12.830+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:03:17.002+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:03:21.875+11:00,copy,B,Melbourne 123,Excel
22,Excel,complete,openFile,Sheet1,2019-02-19T04:03:41.859+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:03:44.598+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:03:53.416+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:04:08.151+11:00,confirm,Web,complete,clickButton,2019-02-19T04:04:16.257+11:00,Web,complete,waitResponse,2019-02-19T04:04:18.401+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:04:18.401+11:00,B2,Web,complete,clickButton,2019-02-19T04:04:21.316+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:04:25.071+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:04:27.626+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:04:31.358+11:00,copy,B,Melbourne 123,Excel
23,Excel,complete,openFile,Sheet1,2019-02-19T04:04:52.683+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:04:55.481+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:04:58.520+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:05:03.674+11:00,confirm,Web,complete,clickButton,2019-02-19T04:05:12.019+11:00,Web,complete,waitResponse,2019-02-19T04:05:14.286+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:05:24.430+11:00,B2,Web,complete,clickButton,2019-02-19T04:05:27.064+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:05:30.262+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:05:33.207+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:05:36.711+11:00,copy,B,Melbourne 123,Excel
24,Excel,complete,openFile,Sheet1,2019-02-19T04:05:54.592+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:06:00.030+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:06:00.695+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:06:11.056+11:00,confirm,Web,complete,clickButton,2019-02-19T04:06:19.321+11:00,Web,complete,waitResponse,2019-02-19T04:06:22.956+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:06:22.956+11:00,B2,Web,complete,clickButton,2019-02-19T04:06:26.452+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:06:30.545+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:06:34.337+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:06:37.522+11:00,copy,B,Melbourne 123,Excel
25,Excel,complete,openFile,Sheet1,2019-02-19T04:06:53.485+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:06:59.161+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:07:06.127+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:07:16.105+11:00,confirm,Web,complete,clickButton,2019-02-19T04:07:23.347+11:00,Web,complete,waitResponse,2019-02-19T04:07:26.409+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:07:28.363+11:00,B2,Web,complete,clickButton,2019-02-19T04:07:31.581+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:07:37.524+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:07:38.866+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:07:42.441+11:00,copy,B,Melbourne 123,Excel
26,Excel,complete,openFile,Sheet1,2019-02-19T04:07:56.837+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:07:56.837+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:07:56.837+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:08:14.611+11:00,confirm,Web,complete,clickButton,2019-02-19T04:08:24.806+11:00,Web,complete,waitResponse,2019-02-19T04:08:27.636+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:08:38.374+11:00,B2,Web,complete,clickButton,2019-02-19T04:08:42.217+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:08:44.184+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:08:48.457+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:08:51.210+11:00,copy,B,Melbourne 123,Excel
27,Excel,complete,openFile,Sheet1,2019-02-19T04:09:10.873+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:09:19.117+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:09:27.701+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:09:32.612+11:00,confirm,Web,complete,clickButton,2019-02-19T04:09:44.917+11:00,Web,complete,waitResponse,2019-02-19T04:09:47.508+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:09:56.839+11:00,B2,Web,complete,clickButton,2019-02-19T04:10:01.607+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:10:04.419+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:10:07.512+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:10:09.601+11:00,copy,B,Melbourne 123,Excel
28,Excel,complete,openFile,Sheet1,2019-02-19T04:10:30.040+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:10:33.255+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:10:37.628+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:10:37.697+11:00,confirm,Web,complete,clickButton,2019-02-19T04:10:47.530+11:00,Web,complete,waitResponse,2019-02-19T04:10:51.028+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:11:03.007+11:00,B2,Web,complete,clickButton,2019-02-19T04:11:05.618+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:11:06.449+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:11:08.751+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:11:09.494+11:00,copy,B,Melbourne 123,Excel
29,Excel,complete,openFile,Sheet1,2019-02-19T04:11:29.360+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:11:35.104+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:11:46.892+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:11:53.957+11:00,confirm,Web,complete,clickButton,2019-02-19T04:12:04.813+11:00,Web,complete,waitResponse,2019-02-19T04:12:09.078+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:12:20.281+11:00,B2,Web,complete,clickButton,2019-02-19T04:12:25.656+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:12:26.297+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:12:28.820+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:12:32.519+11:00,copy,B,Melbourne 123,Excel
